
[Name]
SS304 At Air Outlet Flange

[Spatial Fields]
x, y, z

[Data]
x [ in ], y [ in ], z [ in ], Temperature [ F ]
-1.21250000e+001, 7.96103134e+001, -7.00000000e+001, 4.75432953e+002
-1.24374990e+001, 7.96103134e+001, -7.00000000e+001, 4.56821564e+002
1.20000000e+001, 7.44307556e+001, -7.00000000e+001, 4.68286469e+002
1.20625010e+001, 7.44307556e+001, -7.00000000e+001, 4.66804199e+002
1.20625010e+001, 7.41260681e+001, -7.00000000e+001, 4.58165314e+002
1.20000000e+001, 7.41260681e+001, -7.00000000e+001, 4.59726349e+002
1.20625010e+001, 7.40844040e+001, -7.00000000e+001, 4.56600433e+002
1.20000000e+001, 7.40844040e+001, -7.00000000e+001, 4.58153381e+002
1.20625010e+001, 7.83916931e+001, -7.00000000e+001, 4.91821503e+002
1.20000000e+001, 7.83916931e+001, -7.00000000e+001, 4.93017578e+002
1.20625010e+001, 7.80870056e+001, -7.00000000e+001, 4.91393799e+002
1.20000000e+001, 7.80870056e+001, -7.00000000e+001, 4.92589661e+002
1.20625010e+001, 7.77823181e+001, -7.00000000e+001, 4.90857666e+002
1.20000000e+001, 7.77823181e+001, -7.00000000e+001, 4.92054169e+002
1.20625010e+001, 7.74776306e+001, -7.00000000e+001, 4.90213196e+002
1.20000000e+001, 7.74776306e+001, -7.00000000e+001, 4.91412140e+002
1.20625010e+001, 7.71729431e+001, -7.00000000e+001, 4.89455688e+002
1.20000000e+001, 7.71729431e+001, -7.00000000e+001, 4.90659698e+002
1.20625010e+001, 7.68682556e+001, -7.00000000e+001, 4.88570740e+002
1.20000000e+001, 7.68682556e+001, -7.00000000e+001, 4.89783752e+002
1.20625010e+001, 7.65635681e+001, -7.00000000e+001, 4.87528900e+002
1.20000000e+001, 7.65635681e+001, -7.00000000e+001, 4.88755432e+002
1.20625010e+001, 7.62588806e+001, -7.00000000e+001, 4.86278992e+002
1.20000000e+001, 7.62588806e+001, -7.00000000e+001, 4.87524078e+002
1.20625010e+001, 7.59541931e+001, -7.00000000e+001, 4.84744659e+002
1.20000000e+001, 7.59541931e+001, -7.00000000e+001, 4.86013672e+002
1.20625010e+001, 7.56495056e+001, -7.00000000e+001, 4.82815887e+002
